Unit Address,Property Name,WIFI Network and Password,Media Network and Password,Home Instructions,While You're There,Upon Departure,Important Things To Know,Check-In Time,Check-Out Time
"620 W. 470 N., Moab, UT, 84532, US",Entrada at Moab 620,620 esvrm.com: goodtimes,,* CHECK-IN – 3 pm * CHECK-OUT – 10 am * POOL GATE CODE – 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"623 W. 470 N., Moab, UT, 84532, US",Entrada at Moab 623,623 esvrm.com : goodtimes,,* CHECK-IN : 4 pm * CHECK-OUT : 11 am * POOL GATE CODE : 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 4 pm 2. CHECK-OUT – 11 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",16:00,11:00
"624 W. 470 N., Moab, UT, 84532, US",Entrada at Moab 624 and 632,624 esvrm.com: goodtimes / 632 ESVRM: goodtimes,Media 624 ESVRM: watchthis / Media 632 ESVRM: watchthis,* CHECK-IN – 3 pm * CHECK-OUT – 10 am * POOL GATE CODE – 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"624 W. 470 N., Moab, UT, 84532, US",Entrada at Moab 624,624 esvrm.com: goodtimes,,* CHECK-IN – 3 pm * CHECK-OUT – 10 am * POOL GATE CODE – 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"631 W 400 N, Moab, UT, 84532, US",Entrada at Moab 631,631 esvrm.com: goodtimes,,* CHECK-IN : 4 pm * CHECK-OUT : 11 am * POOL GATE CODE : 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 4 pm 2. CHECK-OUT – 11 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",16:00,11:00
"632 W. 470 N., Moab, UT, 84532, US",Entrada at Moab 632,632ESVRM.com : goodtimes,,* CHECK-IN : 3 pm * CHECK-OUT : 10 am * POOL GATE CODE : 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is not pet-friendly. If it is found that an animal has been inside the property, you will be charged damages of up to $500. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"634 Tanglewood Dr., Heber City, UT, 84032, US",Tanglewood,GAECABIN > (no password required),"""(For Homeowner's only) GAECABIN_ORBI > getawayestates orbilogin.com: admin > 634Tanglewood#""",,"1. Upon arrival, ALL adult guests must sign RELEASE/INDEMNITY/AGREEMENT, then copies of the signed document must be texted or emailed to reservations@esvrm.com. 2. The cabin is on a septic tank. DO NOT flush feminine hygiene products and/or toilet/baby wipes, etc. ONLY small amounts of toilet paper should be flushed. 3. No smoking inside the cabin. 4. Do not use the driveway as a hill for sledding. 5. Pets are NOT allowed. 6. Keep all food and drink in the kitchen, dining, and breezeway areas. 7. Do not remove or rearrange furniture. 8. Do not enter the garages, they should be closed at all times. 9. Use of ATV’s, snowmobiles, or dirt bikes is strictly prohibited. 10. Please call for assistance, if needed, to change thermostats.","1. Wash, dry, and put away all dishes. Do not leave dishes in dishwasher. 2. No need to strip beds, housekeeping will take care of laundry. 3. Do not leave wet towels or linens in the washing machine. 4. Remove all food and personal items. 5. Dispose of all trash in dumpsters by the gate. 6. Turn off all interior lights, TVʼs, stereo equipment, etc. 7. Lock all windows and doors. 8. Replace key in lockbox.","1. You can google map directions with the address: 634 Tanglewood Dr, Heber City, UT 84032 2. Check-in time is typically 3pm; check-out time is 10am. 3. The cabin phone number is 435-785-8234. 4. The internet wifi is GAECABIN. Password not required. 5. The kitchen is ready for cooking with mixing bowls, pots/pans, griddle, crock pot, and an outdoor propane gas grill. 6. Thereʼs bedding and towels for 20 with extras. The cabin has 2 master bedrooms, 4 queen bedrooms, and a bunk room with 2 full and 4 twin size beds. 7. There is not an outdoor spa or hot tub on the premises. 8. Gate Instructions - Arriving BEFORE 11pm - Please drive to the far left and tell the gate attendant your name and that you are staying at Lot 0634A and they'll let you through. 9. Gate Instructions - Arriving AFTER 11pm - Find the Cellgate access control box, enter in 0634A and it will call Sarah to lift the gate for you. Note: There is no cell phone reception at the gate. 10. From October to April, 4x4 or all-wheel drive with all-season tires is required. 11. If you bring a vehicle that is not 4x4 or all-wheel drive with all season tires, you must get a parking pass from the gate house and leave that vehicle in the designated parking area.",15:00,11:00
"635 W 400 N, Moab, UT, 84532, US",Entrada at Moab 635,635 esvrm.com: goodtimes,,* CHECK-IN – 4 pm * CHECK-OUT – 11 am * POOL GATE CODE – 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 4 pm 2. CHECK-OUT – 11 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",16:00,11:00
"650 W. 400 N., Moab, UT, 84532, US",Entrada at Moab 424 and 428 and 432,424/428/432 esvrm.com : goodtimes,,* CHECK-IN : 3 pm * CHECK-OUT : 10 am * POOL GATE CODE : 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"652 w 470n, Moab, UT, 84532, US",Entrada at Moab 652,652 esvrm.com: goodtimes,,* CHECK-IN : 3 pm * CHECK-OUT : 10 am * POOL GATE CODE - 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 4. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 5. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 6. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 7. There is no landline telephone. 8. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 9. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
"664 W 470 N, Moab, UT, 84532, US",Entrada at Moab 664,664 esvrm.com : goodtimes,,* CHECK-IN : 3 pm * CHECK-OUT : 10 am * POOL GATE CODE : 234,"1. The white bath towels are only for bathing. Please do not use them to wipe off any dirt or other items that would stain the towels. 2. Only colored pool towels are to be used outside in the pool area. 3. Keep all food and drink in the kitchen and dining areas. 4. When putting food into the garbage disposal; bigger, harder items should be thrown away. 5. Please remove your shoes while in the home. 6. Be warned that children of all ages can fall and get hurt on bunk beds, please be careful. 7. Please leave front-loading washing machine doors ajar when not in use to prevent mildew. 8. Please do not move things from one home to another, if you are staying in other Entradas. 9. The pool does NOT have a lifeguard on duty. Please follow the posted pool safety rules: a. Respect posted pool hours b. Do not put outdoor furniture in the pool c. Minors must always be accompanied by an adult d. Glass containers are NOT allowed in the pool area 10. The HOA has cameras and noise sensors in the public areas for the spa and the pool. 11. Please help us conserve energy by keeping the exterior doors closed at all times. The thermostat should stay between 68 - 72 degrees. Feel free to call us if there's a problem with the temperature.","1. If there are any items in need of maintenance or our attention, please let management know. 2. Please make sure all dishes are cleaned and/or dishwasher loaded and the cycle started. 3. We love providing all the essentials, but please only the welcome items are to go home with you. 4. You may leave your linens and towels where they are; housekeeping will take care of laundry. 5. Remove all food and collect your personal belongings. 6. Dispose of all trash and recycling in the collection area on the west side of the Entradas on 650 West. 7. Return all television remotes back to where you found them. 8. Return the garage remote to the kitchen counter. 9. Turn off all lights and electronic equipment and lock all the doors and windows.","1. CHECK-IN – 3 pm 2. CHECK-OUT – 10 am 3. POOL GATE CODE – 234 4. Illegal substances and house parties are strictly prohibited and are grounds for immediate eviction. 5. Enjoy your vacation responsibly. Outdoor activity must cease from 10 pm to 7 am (including UTVs & Jeeps). This is a Moab City ordinance, as well as a courtesy for your Entrada neighbors. 6. Do not smoke inside the home; including all tobacco, vaping, and marijuana products. Take it outside or you will be charged damages of up to $500. 7. This home is pet-friendly, with written approval and a paid pet fee. You are required to keep the pet(s) on the main level, off all furniture and carpeted areas, be crated if left unattended, and dispose of pet waste. A safety gate for the stairs is provided and stored in the laundry room. 8. There is no landline telephone. 9. All trash and recycling must be taken to the collection area located on the west side of the Entradas. 10. The community pool availability is weather-dependent and managed solely by the HOA’s manager. The pool is open from approximately late March to the last weekend of October but varies by year. If pool access is important for your stay and you've booked a stay during a time when the pool is normally closed, we suggest confirming availability with Reservations as soon as possible and altering your booking as necessary.",15:00,10:00
